"year","month","age_group","sex","socecon_lvl_cd","total_stroke","total_heart_attack","total_knee_replacement","total_hip_replacement","total_acute_trauma"
2017,1,"30-34",2,3,0,0,0,1,0
2017,1,"40-44",1,4,1,0,0,0,0
2017,1,"40-44",2,5,0,0,1,0,0
2017,1,"60-64",1,3,0,1,0,0,0
2017,1,"60-64",2,5,0,1,0,0,0
2017,1,"65-69",2,4,1,0,0,0,0
2017,1,"70-74",1,4,1,0,0,0,0
2017,2,"25-29",1,1,0,0,0,1,0
2017,2,"35-39",2,5,1,0,0,0,0
2017,2,"40-44",2,5,0,0,1,0,0
2017,2,"55-59",1,5,0,1,0,0,0
2017,2,"60-64",1,3,0,0,1,0,0
2017,2,"70-74",2,3,1,0,0,0,0
2017,2,"75-79",2,5,0,0,0,0,1
2017,2,"80-84",2,2,1,0,0,0,0
2017,2,"85-89",1,3,0,1,0,0,0
2017,2,"85-89",2,2,1,0,0,0,0
2017,2,"95-99",2,2,0,0,0,0,1
2017,2,"95-99",2,4,1,0,0,0,0
2017,3,"30-34",1,3,0,0,0,0,1
2017,3,"40-44",1,4,0,0,1,0,0
2017,3,"50-54",2,5,0,0,0,1,0
2017,3,"60-64",2,3,0,1,0,0,0
2017,3,"65-69",1,2,1,0,0,0,0
2017,3,"75-79",2,4,0,0,0,1,0
2017,3,"80-84",1,5,0,1,0,0,0
2017,3,"85-89",2,4,1,0,0,0,0
2017,3,"90-94",1,4,0,0,0,0,1
2017,3,"90-94",2,1,1,0,0,0,0
2017,3,"95-99",1,1,0,0,0,1,0
2017,4,"15-19",1,3,1,0,0,0,0
2017,4,"20-24",1,2,1,0,0,0,0
2017,4,"20-24",2,1,1,0,0,0,0
2017,4,"30-34",1,1,1,0,0,0,0
2017,4,"35-39",1,4,0,0,0,0,1
2017,4,"35-39",2,5,0,0,1,0,0
2017,4,"60-64",1,5,0,0,0,1,0
2017,4,"60-64",2,2,0,0,0,0,1
2017,4,"65-69",2,1,0,0,0,0,1
2017,4,"65-69",2,4,0,0,1,0,0
2017,4,"70-74",1,2,1,0,0,0,0
2017,4,"70-74",1,5,1,0,0,0,0
2017,4,"85-89",1,3,0,1,0,0,0
2017,4,"85-89",1,5,1,0,0,0,0
2017,4,"85-89",2,4,0,0,0,1,0
2017,4,"90-94",1,1,0,1,0,0,0
2017,4,"90-94",2,5,1,0,0,0,0
2017,4,"95-99",2,1,1,0,0,0,0
2017,5,"15-19",1,4,2,0,0,0,0
2017,5,"15-19",2,4,0,0,1,0,0
2017,5,"20-24",1,3,1,0,0,0,0
2017,5,"20-24",2,1,0,0,1,0,0
2017,5,"25-29",2,1,1,0,0,0,0
2017,5,"25-29",2,3,1,0,0,0,0
2017,5,"35-39",1,3,1,0,0,0,0
2017,5,"35-39",2,1,1,0,0,0,0
2017,5,"65-69",1,1,0,0,0,1,0
2017,5,"65-69",1,2,2,0,0,0,0
2017,5,"65-69",1,3,1,0,0,0,0
2017,5,"65-69",2,5,0,0,1,0,0
2017,5,"85-89",1,3,1,0,0,0,0
2017,6,"20-24",1,2,0,0,1,0,0
2017,6,"25-29",1,1,0,0,0,1,0
2017,6,"30-34",2,5,1,0,0,0,0
2017,6,"35-39",1,4,1,0,0,0,1
2017,6,"45-49",2,2,1,0,0,0,0
2017,6,"55-59",2,5,0,1,0,0,0
2017,6,"60-64",2,2,0,0,0,0,1
2017,6,"60-64",2,4,0,0,0,1,0
2017,6,"65-69",1,1,1,0,0,0,0
2017,6,"65-69",2,3,1,0,0,0,0
2017,6,"65-69",2,4,0,0,0,0,1
2017,6,"70-74",1,3,0,0,1,0,0
2017,6,"70-74",2,1,0,1,0,0,0
2017,6,"70-74",2,2,2,0,0,0,0
2017,6,"75-79",1,4,1,1,0,0,0
2017,6,"75-79",1,5,1,0,0,0,0
2017,6,"75-79",2,5,0,0,0,1,0
2017,6,"80-84",1,1,1,0,1,0,0
2017,6,"80-84",2,2,0,0,0,1,0
2017,6,"85-89",1,4,1,0,0,0,0
2017,6,"85-89",2,1,1,0,0,0,0
2017,6,"90-94",1,1,1,0,0,0,0
2017,6,"90-94",2,3,1,0,0,0,0
2017,6,"90-94",2,4,1,0,0,0,0
2017,6,"90-94",2,5,0,0,0,1,0
2017,6,"95-99",1,1,1,0,0,0,0
2017,6,"95-99",2,3,1,0,0,0,0
2017,7,"25-29",1,1,0,0,0,1,0
2017,7,"30-34",1,4,0,0,0,0,1
2017,7,"30-34",2,5,1,0,0,0,0
2017,7,"35-39",1,2,0,0,1,0,0
2017,7,"35-39",1,5,0,0,0,1,0
2017,7,"35-39",2,3,1,0,0,0,0
2017,7,"35-39",2,5,1,0,0,0,0
2017,7,"40-44",1,2,0,0,0,1,0
2017,7,"40-44",2,2,0,0,0,0,1
2017,7,"40-44",2,4,0,0,0,0,1
2017,7,"50-54",1,3,1,0,0,1,0
2017,7,"50-54",2,1,0,0,0,1,0
2017,7,"55-59",1,1,1,0,0,0,0
2017,7,"60-64",1,2,0,1,0,0,0
2017,7,"65-69",1,4,0,0,0,1,0
2017,7,"65-69",1,5,1,0,0,0,0
2017,7,"65-69",2,3,1,0,0,0,0
2017,7,"65-69",2,5,0,1,0,0,0
2017,7,"70-74",2,3,0,0,0,0,1
2017,7,"75-79",2,2,0,0,1,0,0
2017,7,"80-84",1,3,1,0,0,0,0
2017,7,"80-84",1,5,1,0,0,0,0
2017,7,"80-84",2,2,1,0,0,0,0
2017,7,"80-84",2,3,1,0,0,0,0
2017,7,"80-84",2,4,1,0,0,0,0
2017,7,"95-99",1,2,1,0,0,0,0
2017,7,"95-99",2,1,0,0,0,1,0
2017,8,"15-19",2,1,1,0,0,0,1
2017,8,"20-24",1,1,0,0,0,0,1
2017,8,"20-24",2,4,0,0,0,0,1
2017,8,"25-29",1,3,0,0,0,0,1
2017,8,"25-29",1,5,1,0,0,0,0
2017,8,"30-34",1,1,0,0,1,0,0
2017,8,"30-34",1,5,0,0,0,1,0
2017,8,"30-34",2,2,0,0,1,0,0
2017,8,"30-34",2,3,0,0,0,0,1
2017,8,"35-39",1,2,1,0,0,0,0
2017,8,"40-44",2,5,0,0,1,0,0
2017,8,"50-54",2,1,0,0,1,0,0
2017,8,"50-54",2,5,0,1,0,0,0
2017,8,"60-64",2,3,0,0,0,1,0
2017,8,"65-69",1,1,0,0,1,0,0
2017,8,"70-74",1,4,1,0,0,0,0
2017,8,"75-79",1,3,1,0,0,0,0
2017,8,"75-79",1,4,0,0,1,0,0
2017,8,"75-79",2,4,0,0,1,0,0
2017,8,"80-84",1,3,0,0,1,0,0
2017,8,"80-84",2,2,0,0,1,0,0
2017,8,"80-84",2,4,0,0,0,0,1
2017,8,"80-84",2,5,0,0,0,0,1
2017,8,"85-89",1,1,1,0,0,0,0
2017,8,"85-89",2,3,2,0,0,0,0
2017,8,"85-89",2,4,0,0,0,1,0
